OX371314.1	chr1A
CAMZJZ010000747.1	contig_755
CAMZJZ010000748.1	contig_2070
CAMZJZ010000749.1	contig_952
CAMZJZ010000750.1	contig_759
CAMZJZ010000751.1	contig_1656
CAMZJZ010000752.1	contig_1497
CAMZJZ010000753.1	contig_658
CAMZJZ010000754.1	contig_2539
CAMZJZ010000755.1	contig_1592
CAMZJZ010000756.1	contig_1918
CAMZJZ010000757.1	contig_2483
CAMZJZ010000758.1	contig_1998
CAMZJZ010000759.1	contig_2347
CAMZJZ010000760.1	contig_1784
CAMZJZ010000761.1	contig_1381
CAMZJZ010000762.1	contig_1551
CAMZJZ010000763.1	contig_2486
CAMZJZ010000764.1	contig_1614
CAMZJZ010000765.1	contig_629
CAMZJZ010000766.1	contig_1032
CAMZJZ010000767.1	contig_926
CAMZJZ010000768.1	contig_1289
CAMZJZ010000769.1	contig_396
CAMZJZ010000770.1	contig_2768
CAMZJZ010000771.1	contig_2263
CAMZJZ010000772.1	contig_1543
CAMZJZ010000773.1	contig_1850
CAMZJZ010000774.1	contig_496
CAMZJZ010000775.1	contig_2405
CAMZJZ010000776.1	contig_884
CAMZJZ010000777.1	contig_518
CAMZJZ010000778.1	contig_937
CAMZJZ010000779.1	contig_2446
CAMZJZ010000780.1	contig_2273
CAMZJZ010000781.1	contig_2185
CAMZJZ010000782.1	contig_1844
CAMZJZ010000783.1	contig_2295
CAMZJZ010000784.1	contig_2126
CAMZJZ010000785.1	contig_665
CAMZJZ010000786.1	contig_694
CAMZJZ010000787.1	contig_891
CAMZJZ010000788.1	contig_2694
CAMZJZ010000789.1	contig_857
CAMZJZ010000790.1	contig_2029
CAMZJZ010000791.1	contig_2291
CAMZJZ010000792.1	contig_2536
CAMZJZ010000793.1	contig_1504
CAMZJZ010000794.1	contig_2744
CAMZJZ010000795.1	contig_2741
CAMZJZ010000796.1	contig_311
CAMZJZ010000797.1	contig_2906
CAMZJZ010000798.1	contig_2371
CAMZJZ010000799.1	contig_1591
CAMZJZ010000800.1	contig_2365
CAMZJZ010000801.1	contig_2571
CAMZJZ010000802.1	contig_2717
CAMZJZ010000803.1	contig_2039
CAMZJZ010000804.1	contig_2865
CAMZJZ010000805.1	contig_1416
CAMZJZ010000806.1	contig_657
CAMZJZ010000807.1	contig_2448
CAMZJZ010000808.1	contig_683
CAMZJZ010000809.1	contig_1533
CAMZJZ010000810.1	contig_1661
CAMZJZ010000811.1	contig_545
CAMZJZ010000812.1	contig_912
CAMZJZ010000813.1	contig_1710
CAMZJZ010000814.1	contig_2413
CAMZJZ010000815.1	contig_2380
CAMZJZ010000816.1	contig_1561
CAMZJZ010000817.1	contig_3033
CAMZJZ010000818.1	contig_436
CAMZJZ010000819.1	contig_480
CAMZJZ010000820.1	contig_2770
CAMZJZ010000821.1	contig_1956
CAMZJZ010000822.1	contig_876
CAMZJZ010000823.1	contig_1874
CAMZJZ010000824.1	contig_2393
CAMZJZ010000825.1	contig_1713
CAMZJZ010000826.1	contig_435
CAMZJZ010000827.1	contig_859
CAMZJZ010000828.1	contig_1789
CAMZJZ010000829.1	contig_2793
CAMZJZ010000830.1	contig_2469
CAMZJZ010000831.1	contig_434
CAMZJZ010000832.1	contig_2570
CAMZJZ010000833.1	contig_2407
CAMZJZ010000834.1	contig_1840
CAMZJZ010000835.1	contig_721
CAMZJZ010000836.1	contig_1354
CAMZJZ010000837.1	contig_459
CAMZJZ010000838.1	contig_1573
CAMZJZ010000839.1	contig_608
CAMZJZ010000840.1	contig_958
CAMZJZ010000841.1	contig_548
CAMZJZ010000842.1	contig_1719
CAMZJZ010000843.1	contig_2944
CAMZJZ010000844.1	contig_1586
CAMZJZ010000845.1	contig_1021
CAMZJZ010000846.1	contig_1729
CAMZJZ010000847.1	contig_1027
CAMZJZ010000848.1	contig_1072
CAMZJZ010000849.1	contig_2550
CAMZJZ010000850.1	contig_2696
CAMZJZ010000851.1	contig_967
CAMZJZ010000852.1	contig_2247
CAMZJZ010000853.1	contig_1568
CAMZJZ010000854.1	contig_2872
CAMZJZ010000855.1	contig_2555
CAMZJZ010000856.1	contig_477
CAMZJZ010000857.1	contig_494
CAMZJZ010000858.1	contig_1334
CAMZJZ010000859.1	contig_974
CAMZJZ010000860.1	contig_412
CAMZJZ010000861.1	contig_843
CAMZJZ010000862.1	contig_336
CAMZJZ010000863.1	contig_2085
CAMZJZ010000864.1	contig_2491
CAMZJZ010000865.1	contig_1483
CAMZJZ010000866.1	contig_2201
CAMZJZ010000867.1	contig_1018
CAMZJZ010000868.1	contig_940
CAMZJZ010000869.1	contig_2159
CAMZJZ010000870.1	contig_264
CAMZJZ010000871.1	contig_1696
CAMZJZ010000872.1	contig_2674
CAMZJZ010000873.1	contig_2459
CAMZJZ010000874.1	contig_1644
CAMZJZ010000875.1	contig_1745
CAMZJZ010000876.1	contig_2073
CAMZJZ010000877.1	contig_1809
CAMZJZ010000878.1	contig_1155
CAMZJZ010000879.1	contig_1665
CAMZJZ010000880.1	contig_1448
CAMZJZ010000881.1	contig_421
CAMZJZ010000882.1	contig_1927
CAMZJZ010000883.1	contig_258
CAMZJZ010000884.1	contig_554
CAMZJZ010000885.1	contig_1293
CAMZJZ010000886.1	contig_2634
CAMZJZ010000887.1	contig_703
CAMZJZ010000888.1	contig_437
CAMZJZ010000889.1	contig_1337
CAMZJZ010000890.1	contig_840
CAMZJZ010000891.1	contig_2614
CAMZJZ010000892.1	contig_2821
CAMZJZ010000893.1	contig_831
CAMZJZ010000894.1	contig_1482
CAMZJZ010000895.1	contig_1596
CAMZJZ010000896.1	contig_596
CAMZJZ010000897.1	contig_2965
CAMZJZ010000898.1	contig_263
CAMZJZ010000899.1	contig_1088
CAMZJZ010000900.1	contig_1481
CAMZJZ010000901.1	contig_1934
CAMZJZ010000902.1	contig_1501
CAMZJZ010000903.1	contig_1688
CAMZJZ010000904.1	contig_2562
CAMZJZ010000905.1	contig_982
CAMZJZ010000906.1	contig_1159
CAMZJZ010000907.1	contig_2418
CAMZJZ010000908.1	contig_2992
CAMZJZ010000909.1	contig_1949
CAMZJZ010000910.1	contig_2075
CAMZJZ010000911.1	contig_1779
CAMZJZ010000912.1	contig_2293
CAMZJZ010000913.1	contig_2839
CAMZJZ010000914.1	contig_2695
CAMZJZ010000915.1	contig_2935
CAMZJZ010000916.1	contig_1216
CAMZJZ010000917.1	contig_2647
CAMZJZ010000918.1	contig_738
CAMZJZ010000919.1	contig_2230
CAMZJZ010000920.1	contig_2868
CAMZJZ010000921.1	contig_2531
CAMZJZ010000922.1	contig_2618
CAMZJZ010000923.1	contig_1762
CAMZJZ010000924.1	contig_1912
CAMZJZ010000925.1	contig_1365
CAMZJZ010000926.1	contig_1715
CAMZJZ010000927.1	contig_1026
CAMZJZ010000928.1	contig_610
CAMZJZ010000929.1	contig_2452
CAMZJZ010000930.1	contig_502
CAMZJZ010000931.1	contig_391
CAMZJZ010000932.1	contig_2069
CAMZJZ010000933.1	contig_2593
CAMZJZ010000934.1	contig_715
CAMZJZ010000935.1	contig_297
CAMZJZ010000936.1	contig_287
CAMZJZ010000937.1	contig_1472
CAMZJZ010000938.1	contig_2504
CAMZJZ010000939.1	contig_851
CAMZJZ010000940.1	contig_2748
CAMZJZ010000941.1	contig_2640
CAMZJZ010000942.1	contig_2461
CAMZJZ010000943.1	contig_1975
CAMZJZ010000944.1	contig_3065
CAMZJZ010000945.1	contig_651
CAMZJZ010000946.1	contig_2356
CAMZJZ010000947.1	contig_1196
CAMZJZ010000948.1	contig_157
CAMZJZ010000949.1	contig_2476
CAMZJZ010000950.1	contig_1701
CAMZJZ010000951.1	contig_1083
CAMZJZ010000952.1	contig_3046
CAMZJZ010000953.1	contig_2723
CAMZJZ010000954.1	contig_2004
CAMZJZ010000955.1	contig_2328
CAMZJZ010000956.1	contig_2595
CAMZJZ010000957.1	contig_2128
CAMZJZ010000958.1	contig_1572
CAMZJZ010000959.1	contig_716
CAMZJZ010000960.1	contig_1445
CAMZJZ010000961.1	contig_1407
CAMZJZ010000962.1	contig_2419
CAMZJZ010000963.1	contig_1429
CAMZJZ010000964.1	contig_1820
CAMZJZ010000965.1	contig_2886
CAMZJZ010000966.1	contig_650
CAMZJZ010000967.1	contig_2840
CAMZJZ010000968.1	contig_1705
CAMZJZ010000969.1	contig_1243
CAMZJZ010000970.1	contig_426
CAMZJZ010000971.1	contig_2675
CAMZJZ010000972.1	contig_1888
CAMZJZ010000973.1	contig_761
CAMZJZ010000974.1	contig_625
CAMZJZ010000975.1	contig_1966
CAMZJZ010000976.1	contig_2918
CAMZJZ010000977.1	contig_746
CAMZJZ010000978.1	contig_2489
CAMZJZ010000979.1	contig_1857
CAMZJZ010000980.1	contig_2584
CAMZJZ010000981.1	contig_2497
CAMZJZ010000982.1	contig_530
CAMZJZ010000983.1	contig_915
CAMZJZ010000984.1	contig_2096
CAMZJZ010000985.1	contig_2855
CAMZJZ010000986.1	contig_2209
CAMZJZ010000987.1	contig_2214
CAMZJZ010000988.1	contig_2179
CAMZJZ010000989.1	contig_814
CAMZJZ010000990.1	contig_2931
CAMZJZ010000991.1	contig_3013
CAMZJZ010000992.1	contig_1932
CAMZJZ010000993.1	contig_2995
CAMZJZ010000994.1	contig_2095
CAMZJZ010000995.1	contig_2538
CAMZJZ010000996.1	contig_2838
CAMZJZ010000997.1	contig_2809
CAMZJZ010000998.1	contig_2898
CAMZJZ010000999.1	contig_2946
CAMZJZ010001000.1	contig_1241
CAMZJZ010001001.1	contig_281
CAMZJZ010001002.1	contig_2170
CAMZJZ010001003.1	contig_2424
CAMZJZ010001004.1	contig_2006
CAMZJZ010001005.1	contig_816
CAMZJZ010001006.1	contig_1788
CAMZJZ010001007.1	contig_2097
CAMZJZ010001008.1	contig_2559
CAMZJZ010001009.1	contig_2222
CAMZJZ010001010.1	contig_401
CAMZJZ010001011.1	contig_589
CAMZJZ010001012.1	contig_2194
CAMZJZ010001013.1	contig_2227
CAMZJZ010001014.1	contig_1757
CAMZJZ010001015.1	contig_1669
CAMZJZ010001016.1	contig_684
CAMZJZ010001017.1	contig_2478
CAMZJZ010001018.1	contig_1304
CAMZJZ010001019.1	contig_1822
CAMZJZ010001020.1	contig_1740
CAMZJZ010001021.1	contig_2986
CAMZJZ010001022.1	contig_1378
CAMZJZ010001023.1	contig_2154
CAMZJZ010001024.1	contig_2228
CAMZJZ010001025.1	contig_1111
CAMZJZ010001026.1	contig_2152
CAMZJZ010001027.1	contig_2831
CAMZJZ010001028.1	contig_1046
CAMZJZ010001029.1	contig_837
CAMZJZ010001030.1	contig_2327
CAMZJZ010001031.1	contig_2403
CAMZJZ010001032.1	contig_2556
CAMZJZ010001033.1	contig_2804
CAMZJZ010001034.1	contig_2204
CAMZJZ010001035.1	contig_1522
CAMZJZ010001036.1	contig_1684
CAMZJZ010001037.1	contig_2311
CAMZJZ010001038.1	contig_796
CAMZJZ010001039.1	contig_1547
CAMZJZ010001040.1	contig_2353
CAMZJZ010001041.1	contig_1550
CAMZJZ010001042.1	contig_1264
CAMZJZ010001043.1	contig_1545
CAMZJZ010001044.1	contig_1783
CAMZJZ010001045.1	contig_280
CAMZJZ010001046.1	contig_1310
CAMZJZ010001047.1	contig_2349
CAMZJZ010001048.1	contig_635
CAMZJZ010001049.1	contig_2163
CAMZJZ010001050.1	contig_1699
CAMZJZ010001051.1	contig_1069
CAMZJZ010001052.1	contig_2534
CAMZJZ010001053.1	contig_1313
CAMZJZ010001054.1	contig_2901
CAMZJZ010001055.1	contig_1930
CAMZJZ010001056.1	contig_2889
CAMZJZ010001057.1	contig_2377
CAMZJZ010001058.1	contig_1638
CAMZJZ010001059.1	contig_2679
CAMZJZ010001060.1	contig_405
CAMZJZ010001061.1	contig_2772
CAMZJZ010001062.1	contig_1454
CAMZJZ010001063.1	contig_2315
CAMZJZ010001064.1	contig_1024
CAMZJZ010001065.1	contig_2671
CAMZJZ010001066.1	contig_1676
CAMZJZ010001067.1	contig_2306
CAMZJZ010001068.1	contig_2749
CAMZJZ010001069.1	contig_1748
CAMZJZ010001070.1	contig_2401
CAMZJZ010001071.1	contig_2697
CAMZJZ010001072.1	contig_1356
CAMZJZ010001073.1	contig_706
CAMZJZ010001074.1	contig_1990
CAMZJZ010001075.1	contig_2999
CAMZJZ010001076.1	contig_445
CAMZJZ010001077.1	contig_855
CAMZJZ010001078.1	contig_1386
CAMZJZ010001079.1	contig_484
CAMZJZ010001080.1	contig_2083
CAMZJZ010001081.1	contig_2505
CAMZJZ010001082.1	contig_668
CAMZJZ010001083.1	contig_1058
CAMZJZ010001084.1	contig_806
CAMZJZ010001085.1	contig_1812
CAMZJZ010001086.1	contig_3059
CAMZJZ010001087.1	contig_515
CAMZJZ010001088.1	contig_182
CAMZJZ010001089.1	contig_1242
CAMZJZ010001090.1	contig_1373
CAMZJZ010001091.1	contig_908
CAMZJZ010001092.1	contig_3020
CAMZJZ010001093.1	contig_1824
CAMZJZ010001094.1	contig_2129
CAMZJZ010001095.1	contig_689
CAMZJZ010001096.1	contig_1639
CAMZJZ010001097.1	contig_707
CAMZJZ010001098.1	contig_467
CAMZJZ010001099.1	contig_2771
CAMZJZ010001100.1	contig_813
CAMZJZ010001101.1	contig_1148
CAMZJZ010001102.1	contig_2460
CAMZJZ010001103.1	contig_742
CAMZJZ010001104.1	contig_2545
CAMZJZ010001105.1	contig_1366
CAMZJZ010001106.1	contig_2378
CAMZJZ010001107.1	contig_1476
CAMZJZ010001108.1	contig_734
CAMZJZ010001109.1	contig_1732
CAMZJZ010001110.1	contig_1771
CAMZJZ010001111.1	contig_2366
CAMZJZ010001112.1	contig_355
CAMZJZ010001113.1	contig_2698
CAMZJZ010001114.1	contig_2765
CAMZJZ010001115.1	contig_1899
CAMZJZ010001116.1	contig_1361
CAMZJZ010001117.1	contig_2535
CAMZJZ010001118.1	contig_1767
CAMZJZ010001119.1	contig_1084
CAMZJZ010001120.1	contig_1797
CAMZJZ010001121.1	contig_724
CAMZJZ010001122.1	contig_1595
CAMZJZ010001123.1	contig_1240
CAMZJZ010001124.1	contig_1933
CAMZJZ010001125.1	contig_2495
CAMZJZ010001126.1	contig_2184
CAMZJZ010001127.1	contig_907
CAMZJZ010001128.1	contig_2318
CAMZJZ010001129.1	contig_402
CAMZJZ010001130.1	contig_1833
CAMZJZ010001131.1	contig_1772
CAMZJZ010001132.1	contig_1819
CAMZJZ010001133.1	contig_1427
CAMZJZ010001134.1	contig_2900
CAMZJZ010001135.1	contig_1837
CAMZJZ010001136.1	contig_1086
CAMZJZ010001137.1	contig_2857
CAMZJZ010001138.1	contig_1149
CAMZJZ010001139.1	contig_2310
CAMZJZ010001140.1	contig_2792
CAMZJZ010001141.1	contig_821
CAMZJZ010001142.1	contig_576
CAMZJZ010001143.1	contig_2801
CAMZJZ010001144.1	contig_1044
CAMZJZ010001145.1	contig_2088
CAMZJZ010001146.1	contig_493
CAMZJZ010001147.1	contig_1207
CAMZJZ010001148.1	contig_2343
CAMZJZ010001149.1	contig_950
CAMZJZ010001150.1	contig_1249
CAMZJZ010001151.1	contig_2688
CAMZJZ010001152.1	contig_2168
CAMZJZ010001153.1	contig_995
CAMZJZ010001154.1	contig_1520
CAMZJZ010001155.1	contig_1206
CAMZJZ010001156.1	contig_1326
CAMZJZ010001157.1	contig_2464
CAMZJZ010001158.1	contig_2117
CAMZJZ010001159.1	contig_2267
CAMZJZ010001160.1	contig_2609
CAMZJZ010001161.1	contig_586
CAMZJZ010001162.1	contig_2025
CAMZJZ010001163.1	contig_1037
CAMZJZ010001164.1	contig_2133
CAMZJZ010001165.1	contig_2758
CAMZJZ010001166.1	contig_1364
CAMZJZ010001167.1	contig_1720
CAMZJZ010001168.1	contig_2233
CAMZJZ010001169.1	contig_2631
CAMZJZ010001170.1	contig_2700
CAMZJZ010001171.1	contig_2737
CAMZJZ010001172.1	contig_1489
CAMZJZ010001173.1	contig_2438
CAMZJZ010001174.1	contig_2852
CAMZJZ010001175.1	contig_537
CAMZJZ010001176.1	contig_1036
CAMZJZ010001177.1	contig_2157
CAMZJZ010001178.1	contig_705
CAMZJZ010001179.1	contig_2319
CAMZJZ010001180.1	contig_1597
CAMZJZ010001181.1	contig_117
CAMZJZ010001182.1	contig_2416
CAMZJZ010001183.1	contig_2802
CAMZJZ010001184.1	contig_1233
CAMZJZ010001185.1	contig_399
CAMZJZ010001186.1	contig_510
CAMZJZ010001187.1	contig_911
CAMZJZ010001188.1	contig_2713
CAMZJZ010001189.1	contig_1979
CAMZJZ010001190.1	contig_1054
CAMZJZ010001191.1	contig_304
CAMZJZ010001192.1	contig_959
CAMZJZ010001193.1	contig_3016
CAMZJZ010001194.1	contig_2329
CAMZJZ010001195.1	contig_1856
CAMZJZ010001196.1	contig_1214
CAMZJZ010001197.1	contig_2463
CAMZJZ010001198.1	contig_1423
CAMZJZ010001199.1	contig_1478
CAMZJZ010001200.1	contig_255
CAMZJZ010001201.1	contig_1471
CAMZJZ010001202.1	contig_2622
CAMZJZ010001203.1	contig_1411
CAMZJZ010001204.1	contig_2721
CAMZJZ010001205.1	contig_1807
CAMZJZ010001206.1	contig_2579
CAMZJZ010001207.1	contig_760
CAMZJZ010001208.1	contig_331
CAMZJZ010001209.1	contig_1273
CAMZJZ010001210.1	contig_265
CAMZJZ010001211.1	contig_3032
CAMZJZ010001212.1	contig_2302
CAMZJZ010001213.1	contig_905
CAMZJZ010001214.1	contig_764
CAMZJZ010001215.1	contig_2925
CAMZJZ010001216.1	contig_2708
CAMZJZ010001217.1	contig_2890
CAMZJZ010001218.1	contig_1884
CAMZJZ010001219.1	contig_1703
CAMZJZ010001220.1	contig_1924
CAMZJZ010001221.1	contig_2565
CAMZJZ010001222.1	contig_1782
CAMZJZ010001223.1	contig_2715
CAMZJZ010001224.1	contig_1301
CAMZJZ010001225.1	contig_2670
CAMZJZ010001226.1	contig_2617
CAMZJZ010001227.1	contig_914
CAMZJZ010001228.1	contig_1076
CAMZJZ010001229.1	contig_939
CAMZJZ010001230.1	contig_2369
CAMZJZ010001231.1	contig_1803
CAMZJZ010001232.1	contig_1900
CAMZJZ010001233.1	contig_2340
CAMZJZ010001234.1	contig_858
CAMZJZ010001235.1	contig_2633
CAMZJZ010001236.1	contig_1011
CAMZJZ010001237.1	contig_2646
CAMZJZ010001238.1	contig_1939
CAMZJZ010001239.1	contig_1581
CAMZJZ010001240.1	contig_1995
CAMZJZ010001241.1	contig_2799
CAMZJZ010001242.1	contig_2638
CAMZJZ010001243.1	contig_2923
CAMZJZ010001244.1	contig_2480
CAMZJZ010001245.1	contig_2726
CAMZJZ010001246.1	contig_2370
CAMZJZ010001247.1	contig_1335
CAMZJZ010001248.1	contig_1800
CAMZJZ010001249.1	contig_2487
CAMZJZ010001250.1	contig_424
CAMZJZ010001251.1	contig_2909
CAMZJZ010001252.1	contig_2049
CAMZJZ010001253.1	contig_2548
CAMZJZ010001254.1	contig_446
CAMZJZ010001255.1	contig_2048
CAMZJZ010001256.1	contig_1650
CAMZJZ010001257.1	contig_2790
CAMZJZ010001258.1	contig_1402
CAMZJZ010001259.1	contig_751
CAMZJZ010001260.1	contig_1691
CAMZJZ010001261.1	contig_2346
CAMZJZ010001262.1	contig_922
CAMZJZ010001263.1	contig_272
CAMZJZ010001264.1	contig_2672
CAMZJZ010001265.1	contig_2359
CAMZJZ010001266.1	contig_2884
CAMZJZ010001267.1	contig_2709
CAMZJZ010001268.1	contig_1765
CAMZJZ010001269.1	contig_1441
CAMZJZ010001270.1	contig_1457
CAMZJZ010001271.1	contig_767
CAMZJZ010001272.1	contig_387
CAMZJZ010001273.1	contig_2956
CAMZJZ010001274.1	contig_2786
CAMZJZ010001275.1	contig_2390
CAMZJZ010001276.1	contig_797
CAMZJZ010001277.1	contig_2543
CAMZJZ010001278.1	contig_482
CAMZJZ010001279.1	contig_1204
CAMZJZ010001280.1	contig_2358
CAMZJZ010001281.1	contig_985
CAMZJZ010001282.1	contig_2151
CAMZJZ010001283.1	contig_159
CAMZJZ010001284.1	contig_2210
CAMZJZ010001285.1	contig_2456
CAMZJZ010001286.1	contig_2610
CAMZJZ010001287.1	contig_1883
CAMZJZ010001288.1	contig_1474
CAMZJZ010001289.1	contig_1992
CAMZJZ010001290.1	contig_1140
CAMZJZ010001291.1	contig_1051
CAMZJZ010001292.1	contig_2080
CAMZJZ010001293.1	contig_1194
CAMZJZ010001294.1	contig_2471
CAMZJZ010001295.1	contig_335
CAMZJZ010001296.1	contig_1404
CAMZJZ010001297.1	contig_2298
CAMZJZ010001298.1	contig_2134
CAMZJZ010001299.1	contig_1864
CAMZJZ010001300.1	contig_2544
CAMZJZ010001301.1	contig_2856
CAMZJZ010001302.1	contig_2400
CAMZJZ010001303.1	contig_2433
CAMZJZ010001304.1	contig_2602
CAMZJZ010001305.1	contig_531
CAMZJZ010001306.1	contig_618
CAMZJZ010001307.1	contig_2111
CAMZJZ010001308.1	contig_2428
CAMZJZ010001309.1	contig_1834
CAMZJZ010001310.1	contig_2090
CAMZJZ010001311.1	contig_519
CAMZJZ010001312.1	contig_1496
CAMZJZ010001313.1	contig_2076
CAMZJZ010001314.1	contig_1224
CAMZJZ010001315.1	contig_565
CAMZJZ010001316.1	contig_2246
CAMZJZ010001317.1	contig_904
CAMZJZ010001318.1	contig_2608
CAMZJZ010001319.1	contig_2001
CAMZJZ010001320.1	contig_948
CAMZJZ010001321.1	contig_3011
CAMZJZ010001322.1	contig_1925
CAMZJZ010001323.1	contig_2063
CAMZJZ010001324.1	contig_913
CAMZJZ010001325.1	contig_1103
CAMZJZ010001326.1	contig_2494
CAMZJZ010001327.1	contig_1909
CAMZJZ010001328.1	contig_693
CAMZJZ010001329.1	contig_1296
CAMZJZ010001330.1	contig_2496
CAMZJZ010001331.1	contig_2484
CAMZJZ010001332.1	contig_2256
CAMZJZ010001333.1	contig_3019
CAMZJZ010001334.1	contig_2312
CAMZJZ010001335.1	contig_2182
CAMZJZ010001336.1	contig_2991
CAMZJZ010001337.1	contig_2064
CAMZJZ010001338.1	contig_2817
CAMZJZ010001339.1	contig_1806
CAMZJZ010001340.1	contig_1518
CAMZJZ010001341.1	contig_1274
CAMZJZ010001342.1	contig_1178
CAMZJZ010001343.1	contig_2961
CAMZJZ010001344.1	contig_2481
CAMZJZ010001345.1	contig_379
CAMZJZ010001346.1	contig_2520
CAMZJZ010001347.1	contig_1823
CAMZJZ010001348.1	contig_1587
CAMZJZ010001349.1	contig_2348
CAMZJZ010001350.1	contig_2252
CAMZJZ010001351.1	contig_1309
CAMZJZ010001352.1	contig_1234
CAMZJZ010001353.1	contig_2850
CAMZJZ010001354.1	contig_2517
CAMZJZ010001355.1	contig_2663
CAMZJZ010001356.1	contig_2841
CAMZJZ010001357.1	contig_2028
CAMZJZ010001358.1	contig_1414
CAMZJZ010001359.1	contig_1008
CAMZJZ010001360.1	contig_739
CAMZJZ010001361.1	contig_878
CAMZJZ010001362.1	contig_2879
CAMZJZ010001363.1	contig_1452
CAMZJZ010001364.1	contig_1494
CAMZJZ010001365.1	contig_1549
CAMZJZ010001366.1	contig_2254
CAMZJZ010001367.1	contig_1907
CAMZJZ010001368.1	contig_2546
CAMZJZ010001369.1	contig_2304
CAMZJZ010001370.1	contig_2367
CAMZJZ010001371.1	contig_2883
CAMZJZ010001372.1	contig_1370
CAMZJZ010001373.1	contig_769
CAMZJZ010001374.1	contig_1218
CAMZJZ010001375.1	contig_2016
CAMZJZ010001376.1	contig_786
CAMZJZ010001377.1	contig_1095
CAMZJZ010001378.1	contig_1458
CAMZJZ010001379.1	contig_2432
CAMZJZ010001380.1	contig_432
CAMZJZ010001381.1	contig_1875
CAMZJZ010001382.1	contig_2259
CAMZJZ010001383.1	contig_799
CAMZJZ010001384.1	contig_2337
CAMZJZ010001385.1	contig_3010
CAMZJZ010001386.1	contig_2282
CAMZJZ010001387.1	contig_1019
CAMZJZ010001388.1	contig_2975
CAMZJZ010001389.1	contig_2527
CAMZJZ010001390.1	contig_1096
CAMZJZ010001391.1	contig_848
CAMZJZ010001392.1	contig_443
CAMZJZ010001393.1	contig_1431
CAMZJZ010001394.1	contig_2309
CAMZJZ010001395.1	contig_1583
CAMZJZ010001396.1	contig_2058
CAMZJZ010001397.1	contig_2753
CAMZJZ010001398.1	contig_2300
CAMZJZ010001399.1	contig_2099
CAMZJZ010001400.1	contig_2803
CAMZJZ010001401.1	contig_2988
CAMZJZ010001402.1	contig_1221
CAMZJZ010001403.1	contig_2279
CAMZJZ010001404.1	contig_2561
CAMZJZ010001405.1	contig_1355
CAMZJZ010001406.1	contig_2043
CAMZJZ010001407.1	contig_2542
CAMZJZ010001408.1	contig_1838
CAMZJZ010001409.1	contig_1751
CAMZJZ010001410.1	contig_397
CAMZJZ010001411.1	contig_2887
CAMZJZ010001412.1	contig_1709
CAMZJZ010001413.1	contig_2344
CAMZJZ010001414.1	contig_749
CAMZJZ010001415.1	contig_3070
CAMZJZ010001416.1	contig_2575
CAMZJZ010001417.1	contig_2822
CAMZJZ010001418.1	contig_810
CAMZJZ010001419.1	contig_3043
CAMZJZ010001420.1	contig_2429
CAMZJZ010001421.1	contig_1693
CAMZJZ010001422.1	contig_463
CAMZJZ010001423.1	contig_2498
CAMZJZ010001424.1	contig_2597
CAMZJZ010001425.1	contig_474
CAMZJZ010001426.1	contig_641
CAMZJZ010001427.1	contig_2396
CAMZJZ010001428.1	contig_2324
CAMZJZ010001429.1	contig_2558
CAMZJZ010001430.1	contig_954
CAMZJZ010001431.1	contig_824
CAMZJZ010001432.1	contig_2805
CAMZJZ010001433.1	contig_543
CAMZJZ010001434.1	contig_1841
CAMZJZ010001435.1	contig_2899
CAMZJZ010001436.1	contig_2178
CAMZJZ010001437.1	contig_2235
CAMZJZ010001438.1	contig_1722
CAMZJZ010001439.1	contig_2188
CAMZJZ010001440.1	contig_1118
CAMZJZ010001441.1	contig_1708
CAMZJZ010001442.1	contig_1175
CAMZJZ010001443.1	contig_1725
CAMZJZ010001444.1	contig_2266
CAMZJZ010001445.1	contig_2022
CAMZJZ010001446.1	contig_1997
CAMZJZ010001447.1	contig_2623
CAMZJZ010001448.1	contig_230
CAMZJZ010001449.1	contig_2160
CAMZJZ010001450.1	contig_1636
CAMZJZ010001451.1	contig_1584
CAMZJZ010001452.1	contig_1412
CAMZJZ010001453.1	contig_1607
CAMZJZ010001454.1	contig_804
CAMZJZ010001455.1	contig_1535
CAMZJZ010001456.1	contig_1898
CAMZJZ010001457.1	contig_1640
CAMZJZ010001458.1	contig_1413
CAMZJZ010001459.1	contig_987
CAMZJZ010001460.1	contig_2013
CAMZJZ010001461.1	contig_867
CAMZJZ010001462.1	contig_422
CAMZJZ010001463.1	contig_2492
CAMZJZ010001464.1	contig_1308
CAMZJZ010001465.1	contig_2589
CAMZJZ010001466.1	contig_2236
CAMZJZ010001467.1	contig_1969
CAMZJZ010001468.1	contig_2379
CAMZJZ010001469.1	contig_1878
CAMZJZ010001470.1	contig_2853
CAMZJZ010001471.1	contig_2364
CAMZJZ010001472.1	contig_2846
CAMZJZ010001473.1	contig_2554
CAMZJZ010001474.1	contig_1794
CAMZJZ010001475.1	contig_1442
CAMZJZ010001476.1	contig_2135
CAMZJZ010001477.1	contig_2136
CAMZJZ010001478.1	contig_2406
CAMZJZ010001479.1	contig_2537
CAMZJZ010001480.1	contig_934
CAMZJZ010001481.1	contig_128
CAMZJZ010001482.1	contig_2268
CAMZJZ010001483.1	contig_419
CAMZJZ010001484.1	contig_2450
CAMZJZ010001485.1	contig_2664
CAMZJZ010001486.1	contig_1957
CAMZJZ010001487.1	contig_2462
CAMZJZ010001488.1	contig_415
CAMZJZ010001489.1	contig_1624
CAMZJZ010001490.1	contig_2447
CAMZJZ010001491.1	contig_1307
